id,dateTime,account paying,account receiving,transactionStatus,description,amount,sendID,recID
35,2024-02-05 15:13:44.891171,01-00000102-001-01,OLW Bank,complete,1,1,3,1
1,2024-02-05 13:58:27.639696,01-00000102-001-01,OLW Bank,complete,1,1,3,1
25,2024-02-05 15:12:09.299288,01-00000102-001-01,OLW Bank,complete,1,1,3,1
3,2024-02-05 14:10:52.644281,01-00000102-001-01,OLW Bank,complete,1,1,3,1
5,2024-02-05 15:04:36.101915,01-00000102-001-01,OLW Bank,complete,1,1,3,1
7,2024-02-05 15:09:39.794797,01-00000102-001-01,OLW Bank,pending,1,1,3,1
9,2024-02-05 15:09:56.937481,01-00000102-001-01,OLW Bank,pending,1,1,3,1
27,2024-02-05 15:12:35.575942,01-00000102-001-01,OLW Bank,complete,1,1,3,1
11,2024-02-05 15:10:08.599325,01-00000102-001-01,OLW Bank,pending,1,1,3,1
13,2024-02-05 15:10:18.317725,01-00000102-001-01,OLW Bank,pending,1,1,3,1
15,2024-02-05 15:10:30.774306,01-00000102-001-01,OLW Bank,pending,1,1,3,1
29,2024-02-05 15:12:47.318356,01-00000102-001-01,OLW Bank,complete,1,1,3,1
17,2024-02-05 15:10:36.934245,01-00000102-001-01,OLW Bank,pending,1,1,3,1
19,2024-02-05 15:11:29.576753,01-00000102-001-01,OLW Bank,pending,1,1,3,1
37,2024-02-05 15:13:52.473972,01-00000102-001-01,OLW Bank,complete,1,1,3,1
31,2024-02-05 15:13:08.158117,01-00000102-001-01,OLW Bank,complete,1,1,3,1
21,2024-02-05 15:11:36.590312,01-00000102-001-01,OLW Bank,complete,1,1,3,1
23,2024-02-05 15:11:52.303826,01-00000102-001-01,OLW Bank,complete,1,1,3,1
33,2024-02-05 15:13:23.20047,01-00000102-001-01,OLW Bank,complete,1,1,3,1
43,2024-02-05 15:15:45.83045,01-00000102-001-01,OLW Bank,complete,1,1,3,1
39,2024-02-05 15:14:50.089695,01-00000102-001-01,OLW Bank,complete,1,1,3,1
41,2024-02-05 15:15:37.108336,01-00000102-001-01,OLW Bank,complete,1,1,3,1
51,2024-02-05 15:21:38.165111,01-00000102-001-01,OLW Bank,complete,1,1,3,1
49,2024-02-05 15:17:14.21739,01-00000102-001-01,OLW Bank,complete,1,1,3,1
45,2024-02-05 15:16:43.106155,01-00000102-001-01,OLW Bank,complete,1,1,3,1
47,2024-02-05 15:16:53.544903,01-00000102-001-01,OLW Bank,complete,1,1,3,1
53,2024-02-05 15:23:25.560943,01-00000102-001-01,OLW Bank,complete,1,1,3,1
55,2024-02-05 15:25:05.617867,01-00000102-001-01,OLW Bank,complete,1,1,3,1
57,2024-02-05 15:25:12.637956,01-00000102-001-01,OLW Bank,complete,1,1,3,1
59,2024-02-05 15:25:16.984233,01-00000102-001-01,OLW Bank,complete,1,1,3,1
61,2024-02-05 15:25:54.303834,01-00000102-001-01,OLW Bank,complete,1,1,3,1
79,2024-02-14 01:13:54.190458,01-00000102-001-01,01-00000101-001-01,complete,,10,3,1
63,2024-02-05 15:28:11.765078,01-00000102-001-01,OLW Bank,complete,1,1,3,1
65,2024-02-05 15:32:39.353288,01-00000102-001-01,OLW Bank,complete,1,1,3,1
67,2024-02-05 15:32:39.507065,01-00000102-001-01,OLW Bank,complete,1,1,3,1
81,2024-02-21 17:05:04.151469,01-00000102-001-01,OLW Bank,complete,056754946548,1,3,1
69,2024-02-05 15:32:59.506575,01-00000102-001-01,OLW Bank,complete,1,1,3,1
71,2024-02-05 15:38:19.608299,01-00000102-001-01,OLW Bank,complete,1,1,3,1
73,2024-02-05 15:41:56.54923,01-00000102-001-01,OLW Bank,complete,1,1,3,1
83,2024-02-21 17:05:04.924296,01-00000102-001-01,Fees,complete,,2,3,1
75,2024-02-11 14:12:57.044425,01-00000102-001-01,OLW Bank,complete,3,1,3,1
77,2024-02-14 00:51:38.34502,01-00000102-001-01,01-00000101-001-01,complete,,10,3,1
85,2024-02-21 17:05:37.518578,01-00000102-001-01,OLW Bank,complete,056754946548,1,3,1
87,2024-02-21 17:05:38.293804,01-00000102-001-01,Fees,complete,,2,3,1
